received_at	application_id	device_id	f_port	f_cnt	rssi	snr	data_rate_index	consumed_airtime	frm_payload	decoded_payload
2022-08-07T21:24:01.739554483Z	ardunio-uno-app	testt	1	-	-31	6.75	-	0.051456s	Ymlz	{'myTestValue': 'bis'}
2022-08-07T21:24:05.044665002Z	ardunio-uno-app	testt	1	1	-35	7.5	-	0.066816s	MQ==	{'myTestValue': '1'}
2022-08-07T21:24:51.641125903Z	ardunio-uno-app	testt	1	-	-35	7	-	0.051456s	dGVz	{'myTestValue': 'tes'}
2022-08-07T21:24:54.909430698Z	ardunio-uno-app	testt	1	1	-42	9.75	-	0.066816s	MQ==	{'myTestValue': '1'}
2022-08-07T21:26:00.075865858Z	ardunio-uno-app	testt	1	-	-40	10	-	0.061696s	YnVyYXP/xP+xDQo=	{'myTestValue': 'buras؀ر\r\n'}
2022-08-07T21:26:03.377949846Z	ardunio-uno-app	testt	1	1	-38	7.25	-	0.066816s	MQ==	{'myTestValue': '1'}
2022-08-07T21:27:35.319277566Z	ardunio-uno-app	testt	1	-	-39	10	-	0.061696s	YmlzbWlsbGFoDQo=	{'myTestValue': 'bismillah\r\n'}
2022-08-07T21:27:39.669055820Z	ardunio-uno-app	testt	1	1	-37	9.5	-	0.046336s	MQ==	{'myTestValue': '1'}
2022-08-07T21:27:51.139021596Z	ardunio-uno-app	testt	1	-	-36	7.25	-	0.051456s	dGVzdA0K	{'myTestValue': 'test\r\n'}
2022-08-07T21:27:55.472903177Z	ardunio-uno-app	testt	1	1	-37	8.75	-	0.046336s	MQ==	{'myTestValue': '1'}
2022-08-07T21:28:08.129977779Z	ardunio-uno-app	testt	1	-	-37	9.75	-	0.056576s	c2VsYW0NCg==	{'myTestValue': 'selam\r\n'}
2022-08-07T21:28:11.442361669Z	ardunio-uno-app	testt	1	1	-36	9.75	-	0.066816s	MQ==	{'myTestValue': '1'}
2022-08-07T21:28:27.729139829Z	ardunio-uno-app	testt	1	-	-39	10.25	-	0.061696s	YmlzbWlsbGFoDQo=	{'myTestValue': 'bismillah\r\n'}
