received_at	application_id	device_id	f_port	f_cnt	rssi	snr	data_rate_index	consumed_airtime	frm_payload	decoded_payload
2021-09-16T11:45:51.899000257Z	ardunio-uno-app	testt	1	90	-33	9	5	0.077056s	NDYuNTA4MTMxKjM0LjUwODEzMSo4Mg==	{'myTestValue': '46.508131*34.508131*82'}
2021-09-16T11:46:26.378165656Z	ardunio-uno-app	testt	1	94	-33	8	5	0.077056s	NDYuNTA4MTMxKjM0LjUwODEzMSo4Mg==	{'myTestValue': '46.508131*34.508131*82'}
2021-09-16T11:47:09.217472609Z	ardunio-uno-app	testt	1	99	-32	8.75	5	0.077056s	NDYuNTA4MTMxKjM0LjUwODEzMSo4Mg==	{'myTestValue': '46.508131*34.508131*82'}
2021-09-16T11:47:17.591737644Z	ardunio-uno-app	testt	1	100	-34	9	5	0.077056s	NDYuNTA4MTMxKjM0LjUwODEzMSo4Mg==	{'myTestValue': '46.508131*34.508131*82'}
2021-09-16T11:47:25.985993822Z	ardunio-uno-app	testt	1	101	-33	7.75	5	0.077056s	NDYuNTA4MTMxKjM0LjUwODEzMSo4Mg==	{'myTestValue': '46.508131*34.508131*82'}
2021-09-16T11:47:35.338299412Z	ardunio-uno-app	testt	1	102	-34	9.75	5	0.077056s	NDYuNTA4MTMxKjM0LjUwODEzMSo4Mg==	{'myTestValue': '46.508131*34.508131*82'}
2021-09-16T11:47:43.835287967Z	ardunio-uno-app	testt	1	103	-34	9.25	5	0.077056s	NDYuNTA4MTMxKjM0LjUwODEzMSo4Mg==	{'myTestValue': '46.508131*34.508131*82'}
2021-09-16T11:47:52.087475571Z	ardunio-uno-app	testt	1	104	-33	7.5	5	0.077056s	NDYuNTA4MTMxKjM0LjUwODEzMSo4Mg==	{'myTestValue': '46.508131*34.508131*82'}
2021-09-16T11:48:00.473646505Z	ardunio-uno-app	testt	1	105	-33	9	5	0.077056s	NDYuNTA4MTMxKjM0LjUwODEzMSo4Mg==	{'myTestValue': '46.508131*34.508131*82'}
2021-09-16T11:48:08.839581804Z	ardunio-uno-app	testt	1	106	-34	9.25	5	0.077056s	NDYuNTA4MTMxKjM0LjUwODEzMSo4Mg==	{'myTestValue': '46.508131*34.508131*82'}
2021-09-16T11:48:18.219484484Z	ardunio-uno-app	testt	1	107	-35	9.25	5	0.077056s	NDYuNTA4MTMxKjM0LjUwODEzMSo4Mg==	{'myTestValue': '46.508131*34.508131*82'}
2021-09-16T11:48:26.577106778Z	ardunio-uno-app	testt	1	108	-34	8.25	5	0.077056s	NDYuNTA4MTMxKjM0LjUwODEzMSo4Mg==	{'myTestValue': '46.508131*34.508131*82'}
